source,target,type
22,151,2
22,152,2
22,157,2
22,158,2
22,174,2
23,0,2
23,4,2
24,5,2
24,19,2
24,27,2
24,35,2
24,72,2
24,134,2
24,94,2
25,0,2
25,21,2
25,35,2
25,135,2
25,190,2
25,193,2
25,4,2
26,8,2
26,13,2
26,29,2
26,64,2
26,65,2
26,84,2
26,91,2
26,109,2
26,128,2
26,171,2
26,19,2
26,159,2
26,18,2
26,15,2
27,1,2
27,24,2
27,44,2
27,56,2
27,90,2
27,92,2
27,106,2
27,119,2
27,164,2
27,168,2
27,185,2
28,0,2
28,1,2
28,180,2
29,6,2
29,26,2
29,31,2
29,0,2
29,12,2
29,15,2
29,89,2
30,4,2
30,5,2
30,98,2
30,199,2
30,3,2
31,6,2
31,29,2
31,39,2
31,55,2
31,56,2
31,181,2
31,89,2
31,11,2
31,4,2
32,0,2
32,10,2
32,81,2
32,82,2
32,155,2
32,1,2
33,5,2
33,16,2
33,48,2
33,59,2
33,97,2
33,127,2
33,188,2
33,13,2
34,5,2
34,21,2
34,58,2
35,24,2
35,25,2
35,71,2
35,89,2
35,163,2
35,171,2
35,70,2
36,0,2
36,4,2
37,6,2
37,12,2
37,41,2
37,53,2
37,81,2
37,108,2
37,130,2
38,0,2
38,17,2
39,5,2
39,31,2
39,70,2
39,15,2
40,4,2
40,13,2
41,2,2
41,37,2
41,93,2
41,144,2
41,183,2
42,5,2
42,22,2
43,1,2
43,16,2
43,48,2
43,80,2
43,93,2
43,136,2
44,0,2
44,27,2
44,136,2
45,0,2
45,1,2
45,63,2
45,69,2
45,4,2
45,66,2
46,15,2
46,17,2
46,12,2
47,0,2
47,15,2
47,6,2
48,33,2
48,43,2
48,131,2
49,1,2
49,16,2
49,52,2
49,54,2
49,76,2
49,95,2
49,115,2
49,125,2
49,138,2
49,153,2
49,186,2
49,196,2
49,69,2
50,0,2
50,6,2
50,66,2
50,72,2
50,88,2
50,145,2
51,10,2
51,18,2
51,172,2
51,185,2
52,17,2
52,49,2
52,63,2
52,162,2
53,4,2
53,37,2
53,124,2
54,18,2
54,49,2
54,119,2
54,166,2
54,0,2
55,6,2
55,31,2
55,185,2
55,135,2
56,27,2
56,31,2
56,138,2
56,169,2
56,71,2
57,0,2
57,2,2
57,70,2
57,85,2
57,94,2
57,146,2
58,10,2
58,34,2
58,3,2
59,7,2
59,33,2
59,96,2
59,1,2
60,0,2
60,6,2
61,0,2
61,11,2
61,66,2
61,120,2
61,132,2
61,189,2
61,13,2
62,4,2
62,5,2
62,87,2
62,113,2
62,114,2
62,136,2
62,193,2
63,45,2
63,52,2
64,4,2
64,26,2
64,79,2
64,172,2
65,1,2
65,26,2
65,132,2
65,152,2
66,50,2
66,61,2
66,73,2
66,74,2
66,184,2
66,199,2
66,4,2
66,45,2
67,1,2
67,5,2
67,107,2
67,198,2
68,0,2
68,16,2
68,160,2
68,101,2
68,132,2
69,4,2
69,45,2
69,77,2
69,89,2
69,100,2
69,101,2
69,142,2
69,162,2
69,170,2
69,181,2
69,187,2
69,92,2
69,191,2
69,127,2
69,2,2
69,119,2
69,49,2
70,39,2
70,57,2
70,129,2
70,13,2
70,35,2
71,0,2
71,35,2
71,183,2
71,107,2
71,56,2
72,24,2
72,50,2
72,100,2
72,191,2
72,17,2
72,179,2
73,15,2
73,66,2
74,4,2
74,66,2
74,83,2
74,173,2
75,1,2
75,21,2
75,112,2
75,126,2
75,137,2
75,177,2
75,155,2
76,22,2
76,49,2
77,0,2
77,69,2
77,145,2
77,169,2
78,0,2
78,1,2
78,164,2
78,179,2
78,187,2
78,190,2
79,2,2
79,64,2
79,90,2
79,92,2
80,4,2
80,43,2
81,32,2
81,37,2
82,6,2
82,32,2
82,104,2
82,126,2
82,160,2
82,165,2
82,194,2
82,14,2
82,151,2
82,5,2
83,4,2
83,74,2
83,92,2
84,12,2
84,26,2
84,123,2
84,145,2
85,10,2
85,57,2
85,122,2
86,0,2
86,4,2
87,4,2
87,62,2
87,94,2
87,109,2
87,158,2
88,0,2
88,50,2
89,35,2
89,69,2
89,185,2
89,31,2
89,29,2
90,27,2
90,79,2
90,0,2
91,0,2
91,26,2
92,27,2
92,79,2
92,103,2
92,163,2
92,69,2
92,83,2
93,4,2
93,41,2
93,196,2
93,43,2
93,198,2
94,57,2
94,87,2
94,111,2
94,197,2
94,24,2
95,10,2
95,49,2
96,16,2
96,59,2
96,173,2
97,1,2
97,33,2
98,0,2
98,30,2
99,1,2
99,4,2
100,69,2
100,72,2
100,18,2
101,6,2
101,69,2
101,141,2
101,119,2
101,68,2
102,2,2
102,4,2
103,0,2
103,92,2
103,1,2
103,116,2
104,9,2
104,82,2
104,139,2
105,6,2
105,10,2
106,1,2
106,27,2
107,0,2
107,67,2
107,71,2
108,10,2
108,37,2
109,26,2
109,87,2
109,139,2
109,0,2
109,4,2
110,0,2
110,6,2
110,15,2
111,18,2
111,94,2
112,1,2
112,75,2
112,120,2
113,16,2
113,62,2
114,4,2
114,62,2
115,6,2
115,49,2
116,0,2
116,13,2
116,103,2
117,4,2
117,8,2
118,0,2
118,15,2
119,27,2
119,54,2
119,101,2
119,139,2
119,69,2
120,61,2
120,112,2
121,8,2
121,10,2
122,0,2
122,85,2
123,14,2
123,84,2
123,7,2
124,9,2
124,53,2
125,1,2
125,49,2
126,75,2
126,82,2
126,144,2
127,15,2
127,33,2
127,69,2
128,13,2
128,26,2
129,7,2
129,70,2
129,4,2
130,0,2
130,37,2
130,150,2
131,15,2
131,48,2
131,170,2
131,149,2
132,61,2
132,65,2
132,68,2
133,1,2
133,6,2
134,14,2
134,24,2
135,5,2
135,25,2
135,159,2
135,55,2
136,44,2
136,62,2
136,43,2
137,1,2
137,75,2
137,150,2
137,156,2
138,49,2
138,56,2
139,0,2
139,104,2
139,169,2
139,176,2
139,109,2
139,119,2
139,1,2
140,0,2
140,1,2
140,147,2
140,2,2
140,18,2
141,1,2
141,101,2
142,15,2
142,69,2
142,0,2
143,1,2
143,6,2
143,178,2
143,182,2
144,41,2
144,126,2
145,50,2
145,77,2
145,198,2
145,84,2
146,16,2
146,57,2
146,159,2
147,17,2
147,140,2
147,155,2
147,161,2
148,6,2
148,16,2
149,9,2
149,14,2
149,131,2
150,130,2
150,137,2
151,16,2
151,22,2
151,82,2
152,22,2
152,65,2
153,19,2
153,49,2
154,4,2
154,6,2
155,32,2
155,147,2
155,75,2
155,191,2
155,1,2
156,1,2
156,137,2
156,184,2
157,4,2
157,22,2
157,172,2
158,22,2
158,87,2
158,176,2
159,135,2
159,146,2
159,26,2
160,68,2
160,82,2
160,18,2
160,183,2
161,6,2
161,18,2
161,147,2
162,52,2
162,69,2
162,18,2
163,35,2
163,92,2
164,27,2
164,78,2
165,20,2
165,82,2
165,2,2
166,2,2
166,54,2
167,16,2
167,18,2
168,20,2
168,27,2
169,56,2
169,139,2
169,77,2
170,69,2
170,131,2
171,26,2
171,35,2
171,179,2
172,19,2
172,64,2
172,178,2
172,51,2
172,157,2
173,74,2
173,96,2
174,4,2
174,22,2
174,15,2
175,1,2
175,2,2
176,139,2
176,158,2
177,1,2
177,75,2
177,186,2
178,143,2
178,172,2
179,78,2
179,171,2
179,72,2
180,4,2
180,28,2
181,31,2
181,69,2
181,18,2
182,6,2
182,143,2
182,197,2
183,41,2
183,71,2
183,13,2
183,160,2
184,66,2
184,156,2
185,55,2
185,89,2
185,27,2
185,51,2
185,0,2
186,49,2
186,177,2
187,69,2
187,78,2
188,15,2
188,33,2
189,1,2
189,61,2
190,25,2
190,78,2
191,6,2
191,72,2
191,195,2
191,69,2
191,155,2
192,2,2
192,4,2
193,25,2
193,62,2
194,4,2
194,82,2
195,1,2
195,191,2
196,1,2
196,49,2
196,93,2
197,94,2
197,182,2
198,2,2
198,145,2
198,67,2
198,93,2
199,1,2
199,30,2
199,66,2
